symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
MMM,2008-06-30,77.4100,77.6100,68.6100,69.5900,43.8836,98023400,0.0000
MMM,2008-05-30,76.9400,79.8900,75.5000,77.5600,48.9095,76437900,0.5000
MMM,2008-04-30,79.6100,83.2200,76.4600,76.9000,48.1769,87562900,0.0000
MMM,2008-03-31,78.3900,81.6800,75.2400,79.1500,49.5865,84367000,0.0000
MMM,2008-02-29,80.0000,81.6500,77.8200,78.4000,49.1166,67783000,0.5000
MMM,2008-01-31,84.2300,84.7600,72.0500,79.6500,49.5895,110132700,0.0000
MMM,2007-12-31,83.4300,88.7000,81.6000,84.3200,52.4971,70075800,0.0000
MMM,2007-11-30,86.0700,86.2800,78.9800,83.2600,51.8371,99222200,0.4800
MMM,2007-10-31,93.8400,97.0000,84.0800,86.3600,53.4547,98091500,0.0000
MMM,2007-09-28,90.9600,93.9800,87.2100,93.5800,57.9237,65166600,0.0000
MMM,2007-08-31,88.9400,91.5100,83.2100,90.9900,56.3205,95588700,0.4800
MMM,2007-07-31,87.2900,92.3200,87.0700,88.9200,54.7442,78773800,0.0000
MMM,2007-06-29,87.9300,88.4900,84.4000,86.7900,53.4329,67679800,0.0000
MMM,2007-05-31,82.7700,89.0300,82.1600,87.9600,54.1532,87362900,0.4800
MMM,2007-04-30,76.4400,83.2500,75.9100,82.7700,50.6751,76926300,0.0000
MMM,2007-03-30,74.0000,78.1600,72.9000,76.4300,46.7935,80830400,0.0000
MMM,2007-02-28,74.7500,77.4300,73.5200,74.0800,45.3548,79596100,0.4800
MMM,2007-01-31,77.5300,79.8800,73.0900,74.3000,45.2048,69810800,0.0000
MMM,2006-12-29,81.5500,81.5500,77.3500,77.9300,47.4133,59004100,0.0000
MMM,2006-11-30,78.8300,81.9500,78.1200,81.4600,49.5610,49316900,0.4600
MMM,2006-10-31,74.7000,80.8800,73.0000,78.8400,47.6982,61557000,0.0000
MMM,2006-09-29,71.7400,75.3700,70.5900,74.4200,45.0241,63929200,0.0000
MMM,2006-08-31,70.0000,72.0000,68.1800,71.7000,43.3785,77912000,0.4600
MMM,2006-07-31,81.1500,81.6000,67.0500,70.4000,42.3153,127175600,0.0000
MMM,2006-06-30,83.6600,85.2300,78.6100,80.7700,48.5484,59995700,0.0000
MMM,2006-05-31,85.5100,88.3500,82.5900,83.6600,50.2855,66865200,0.4600
MMM,2006-04-28,75.9700,85.9000,75.7600,85.4300,51.0711,74722900,0.0000
MMM,2006-03-31,74.0700,78.7400,71.3300,75.6900,45.2484,69525500,0.0000
MMM,2006-02-28,72.3000,74.6600,70.3000,73.5900,43.9930,56144800,0.4600
MMM,2006-01-31,77.7600,79.8300,71.9600,72.7500,43.2184,62966600,0.0000
MMM,2005-12-30,78.7700,79.8400,73.4700,77.5000,46.0402,51305400,0.0000
MMM,2005-11-30,75.5000,79.3800,74.4000,78.4800,46.6224,59215100,0.4200
MMM,2005-10-31,73.2600,76.4800,69.7100,75.9800,44.8964,67228900,0.0000
MMM,2005-09-30,71.4000,74.5800,70.6100,73.3600,43.3482,59917000,0.0000
MMM,2005-08-31,75.1000,75.4900,70.4100,71.1500,42.0423,69923400,0.4200
MMM,2005-07-29,72.3100,76.7400,71.0300,75.0000,44.0594,73146300,0.0000
MMM,2005-06-30,76.7800,78.5500,72.2500,72.3000,42.4733,72349500,0.0000
MMM,2005-05-31,76.4700,79.2300,75.0900,76.6500,45.0287,55751100,0.4200
MMM,2005-04-29,86.0000,86.2100,74.9500,76.4700,44.6827,73551700,0.0000
MMM,2005-03-31,83.9500,87.4500,83.5200,85.6900,50.0701,55305300,0.0000
MMM,2005-02-28,84.3500,86.9800,82.9500,83.9400,49.0475,48467900,0.4200
MMM,2005-01-31,82.1700,85.5000,80.7300,84.3600,49.0475,73968800,0.0000
MMM,2004-12-31,79.5000,83.0300,78.1300,82.0700,47.7161,70244600,0.0000
MMM,2004-11-30,77.5000,82.9000,75.0600,79.5900,46.2742,68914100,0.3600
MMM,2004-10-29,80.0000,81.9700,73.3100,77.5700,44.9031,79285100,0.0000
MMM,2004-09-30,82.1200,84.9600,77.6900,79.9700,46.2924,58461200,0.0000
MMM,2004-08-31,82.3000,83.8500,77.2000,82.3600,47.6759,51538300,0.3600
MMM,2004-07-30,90.0000,90.1100,80.7500,82.3600,47.4624,64671500,0.0000
MMM,2004-06-30,84.1300,90.2900,84.0100,90.0100,51.8709,48399900,0.0000
MMM,2004-05-28,86.5000,87.6500,81.6700,84.5600,48.7302,50875200,0.3600
MMM,2004-04-30,81.8700,88.7000,80.9000,86.4800,49.6196,60029000,0.0000
MMM,2004-03-31,78.4700,81.9800,74.3500,81.8700,46.9745,75066300,0.0000
MMM,2004-02-27,78.8900,81.4600,77.5700,78.0200,44.7655,53698700,0.3600
MMM,2004-01-30,85.0000,86.2000,78.4100,79.0900,45.1753,75033700,0.0000
MMM,2003-12-31,79.5000,85.4000,79.4000,85.0300,48.5682,53349900,0.0000
MMM,2003-11-28,78.9600,80.1600,76.0000,79.0400,45.1467,44008500,0.3300
MMM,2003-10-31,69.9400,79.3000,69.8000,78.8700,44.8570,70357700,0.0000
MMM,2003-09-30,141.0000,144.3500,68.9400,69.0700,39.2833,53217600,0.0000
MMM,2003-08-29,139.4000,145.7000,137.7700,142.4700,40.5146,37247400,0.6600
MMM,2003-07-31,128.9800,141.6400,126.8000,140.2000,39.6870,50607000,0.0000
MMM,2003-06-30,127.2500,133.9000,124.5000,128.9800,36.5109,42188800,0.0000
MMM,2003-05-30,126.0400,126.7400,120.5100,126.4700,35.8004,49484400,0.6600
MMM,2003-04-30,130.0400,136.7500,122.5900,126.0400,35.4886,62767900,0.0000
MMM,2003-03-31,125.9000,135.0000,119.5000,130.0000,36.6037,59406700,0.0000
MMM,2003-02-28,125.6000,127.5000,120.3000,125.4000,35.3084,42492800,0.6600
MMM,2003-01-31,123.3000,129.1000,123.1000,124.6000,34.9002,45126700,0.0000
MMM,2002-12-31,130.3000,130.5000,119.9800,123.3000,34.5361,37506700,0.0000
MMM,2002-11-29,126.7000,131.6000,125.4000,129.9000,36.3848,45978000,0.6200
MMM,2002-10-31,110.8000,129.8000,110.8000,126.9000,35.3741,73264200,0.0000
MMM,2002-09-30,123.7000,127.2000,108.5000,110.0000,30.6631,58827300,0.0000
MMM,2002-08-30,125.3000,129.5000,116.5000,125.0000,34.8444,54184000,0.6200
MMM,2002-07-31,125.8000,130.1000,108.2000,125.8000,34.8994,79202500,0.0000
